tconst	averageRating
tt0010964	6.4
tt0010965	5.1
tt0010967	6.2
tt0010968	4.2
tt0010969	6.7
tt0010987	7.1
tt0010994	6.5
tt0011000	6.7
tt0011001	6.8
tt0011011	5.8
tt0011012	5.8
tt0011024	5.5
tt0011031	6.4
tt0011036	6.3
tt0011042	6.8
tt0011069	5.7
tt0011070	7.0
tt0011073	6.8
tt0011076	5.9
tt0011078	5.7
tt0011079	6.7
tt0011087	6.0
tt0011093	6.3
tt0011094	5.5
tt0011098	6.7
tt0011110	6.9
tt0011114	6.2
tt0011117	7.8
tt0011118	6.3
tt0011127	6.9
tt0011128	6.4
tt0011130	7.0
tt0011131	5.4
tt0011133	6.9
tt0011137	5.5
tt0011148	2.2
tt0011149	1.0
tt0011154	5.2
tt0011157	6.6
tt0011163	6.0
tt0011172	6.1
tt0011173	6.3
tt0011174	6.9
tt0011191	7.0
tt0011193	6.6
tt0011197	5.4
tt0011205	6.7
tt0011216	6.9
tt0011217	6.4
tt0011221	6.0
tt0011222	7.1
tt0011224	5.8
tt0011228	3.0
tt0011232	5.0
tt0011234	4.4
tt0011237	7.2
tt0011238	6.1
tt0011239	4.7
tt0011241	3.3
tt0011243	4.7
tt0011256	5.4
tt0011257	6.0
tt0011265	5.3
tt0011267	5.1
tt0011273	5.6
tt0011277	7.7
tt0011280	5.9
tt0011284	7.0
tt0011291	5.8
tt0011294	7.1
tt0011298	4.6
tt0011302	7.0
tt0011303	6.5
tt0011309	3.5
tt0011313	6.5
tt0011317	6.3
tt0011318	3.3
tt0011324	5.7
tt0011325	6.9
tt0011327	6.8
tt0011336	5.1
tt0011339	5.0
tt0011344	6.8
tt0011348	7.1
tt0011350	6.8
tt0011353	6.6
tt0011358	6.7
tt0011362	6.9
tt0011368	6.3
tt0011369	6.1
tt0011370	6.9
tt0011371	6.7
tt0011387	6.7
tt0011393	5.4
tt0011394	6.9
tt0011396	6.1
tt0011401	6.0
tt0011413	4.4
tt0011414	5.0
tt0011415	6.3
tt0011421	2.8
tt0011428	6.2
tt0011433	3.2
tt0011435	4.9
tt0011439	7.1
tt0011440	6.6
tt0011454	6.7
tt0011459	5.9
tt0011470	1.7
tt0011474	6.7
tt0011487	4.7
tt0011495	4.6
tt0011499	7.1
tt0011507	6.6
tt0011513	5.7
tt0011520	2.1
tt0011522	7.0
tt0011525	6.4
tt0011533	5.4
tt0011549	4.7
tt0011565	7.4
tt0011571	5.7
tt0011575	5.9
tt0011577	5.3
tt0011587	4.2
tt0011588	6.6
tt0011594	6.2
tt0011598	5.0
tt0011603	3.0
tt0011604	5.3
tt0011607	7.2
tt0011612	5.7
tt0011617	6.3
tt0011619	7.4
tt0011623	6.1
tt0011624	4.9
tt0011635	5.2
tt0011641	6.5
tt0011647	5.6
tt0011651	7.1
tt0011652	6.2
tt0011654	7.0
tt0011667	5.9
tt0011676	7.1
tt0011679	6.1
tt0011687	6.8
tt0011691	5.9
tt0011692	4.9
